,Year,Rank,DJ Name
3707,2022,94,Rave Republic
3709,2022,95,KAKA
3711,2022,96,Sunnery James & Ryan Marciano
3713,2022,97,Maya Jane Coles
3715,2022,98,Jay Hardway
3717,2022,99,Cuebrick
3719,2022,100,The Martinez Brothers
3721,2023,1,David Guetta
3723,2023,2,Dimitri Vegas & Like Mike
3725,2023,3,Martin Garrix
3727,2023,4,Alok
3729,2023,5,Armin Van Buuren
3731,2023,6,Timmy Trumpet
3733,2023,7,Afrojack
3735,2023,8,Steve Aoki
3737,2023,9,Peggy Gou
3739,2023,10,Vintage Culture
3741,2023,11,Alan Walker
3743,2023,12,Calvin Harris
3745,2023,13,Don Diablo
3747,2023,14,R3hab
3749,2023,15,KSHMR
3751,2023,16,W&W
3753,2023,17,Skrillex
3755,2023,18,Charlotte de Witte
3757,2023,19,Oliver Heldens
3759,2023,20,FISHER
3761,2023,21,GORDO
3763,2023,22,Lost Frequencies
3765,2023,23,Tiësto
3767,2023,24,Nicky Romero
3769,2023,25,Black Coffee
3771,2023,26,Carl Cox
3773,2023,27,Reinier Zonneveld
3775,2023,28,Vini Vici
3777,2023,29,Quintino
3779,2023,30,Amelie Lens
3781,2023,31,Bassjackers
3783,2023,32,Claptone
3785,2023,33,Fedde Le Grand
3787,2023,34,Fred Again..
3789,2023,35,Marshmello
3791,2023,36,Jamie Jones
3793,2023,37,Hardwell
3795,2023,38,DJ Snake
3797,2023,39,Eric Prydz
3799,2023,40,Above & Beyond
3801,2023,41,Joel Corry
3803,2023,42,Danny Avila
3805,2023,43,Mariana Bo
3807,2023,44,The Chainsmokers
3809,2023,45,Paul van Dyk
3811,2023,46,Deborah De Luca
3813,2023,47,Zedd
3815,2023,48,Nervo
3817,2023,49,ATB
3819,2023,50,Beauz
3821,2023,51,VINAI
3823,2023,52,Alesso
3825,2023,53,Nora En Pure
3827,2023,54,Tujamo
3829,2023,55,Boris Brejcha
3831,2023,56,REZZ
3833,2023,57,Topic
3835,2023,58,Blasterjaxx
3837,2023,59,KAAZE
3839,2023,60,The Martinez Brothers
3841,2023,61,Adam Beyer
3843,2023,62,Kura
3845,2023,63,Swedish House Mafia
3847,2023,64,Dubdogz
3849,2023,65,Deadmau5
3851,2023,66,Mike Williams
3853,2023,67,Burak Yeter
3855,2023,68,Julian Jordan
3857,2023,69,Ummet Ozcan
3859,2023,70,Cat Dealers
3861,2023,71,Angerfist
3863,2023,72,Plastik Funk
3865,2023,73,Tungevaag
3867,2023,74,Acraze
3869,2023,75,Tom & Collins
3871,2023,76,Deorro
3873,2023,77,Ofenbach
3875,2023,78,22Bullets
3877,2023,79,Brennan Heart
3879,2023,80,Diego Miranda
3881,2023,81,Lucas & Steve
3883,2023,82,Aryue
3885,2023,83,James Hype
3887,2023,84,Le Twins
3889,2023,85,Pink Panda
3891,2023,86,KAKA
3893,2023,87,Naeleck
3895,2023,88,MARTEN HØRGER
3897,2023,89,Ferry Corsten
3899,2023,90,MORTEN
3901,2023,91,Kölsch
3903,2023,92,Rave Republic
3905,2023,93,Cuebrick
3907,2023,94,Solomun
3909,2023,95,Maddix
3911,2023,96,Lizzy Wang
3913,2023,97,Indira Paganotto
3915,2023,98,Liu
3917,2023,99,Le Shuuk
3919,2023,100,Jay Hardway
3921,2024,1,Martin Garrix
3923,2024,2,David Guetta
3925,2024,3,Dimitri Vegas & Like Mike
3927,2024,4,Alok
3929,2024,5,Timmy Trumpet
3931,2024,6,Armin Van Buuren
3933,2024,7,Afrojack
3935,2024,8,FISHER
3937,2024,9,Vintage Culture
3939,2024,10,Peggy Gou
3941,2024,11,Hardwell
3943,2024,12,Steve Aoki
3945,2024,13,Alan Walker
3947,2024,14,KSHMR
3949,2024,15,Don Diablo
3951,2024,16,Charlotte de Witte
3953,2024,17,Anyma
3955,2024,18,R3hab
3957,2024,19,Skrillex
3959,2024,20,Lost Frequencies
3961,2024,21,W&W
3963,2024,22,Calvin Harris
3965,2024,23,Tiësto
3967,2024,24,Black Coffee
3969,2024,25,Nicky Romero
3971,2024,26,Reinier Zonneveld
3973,2024,27,Vini Vici
3975,2024,28,Fred Again..
3977,2024,29,Oliver Heldens
3979,2024,30,Jamie Jones
3981,2024,31,Carl Cox
3983,2024,32,Claptone
3985,2024,33,DJ Snake
3987,2024,34,Marshmello
3989,2024,35,Keinemusik
3991,2024,36,Joel Corry
3993,2024,37,Paul van Dyk
3995,2024,38,Quintino
3997,2024,39,Swedish House Mafia
3999,2024,40,Fedde Le Grand
4001,2024,41,Amelie Lens
4003,2024,42,The Chainsmokers
4005,2024,43,Alesso
4007,2024,44,Bassjackers
4009,2024,45,GORDO
4011,2024,46,Eric Prydz
4013,2024,47,ATB
4015,2024,48,KAAZE
4017,2024,49,Indira Paganotto
4019,2024,50,Nervo
4021,2024,51,Mariana Bo
4023,2024,52,VINAI
4025,2024,53,Above & Beyond
4027,2024,54,Zedd
4029,2024,55,Boris Brejcha
4031,2024,56,Kura
4033,2024,57,James Hype
4035,2024,58,Deborah De Luca
4037,2024,59,Tujamo
4039,2024,60,Korolova
4041,2024,61,Mochakk
4043,2024,62,Dubdogz
4045,2024,63,Julian Jordan
4047,2024,64,Burak Yeter
4049,2024,65,Nora En Pure
4051,2024,66,Dom Dolla
4053,2024,67,Deadmau5
4055,2024,68,The Martinez Brothers
4057,2024,69,Maddix
4059,2024,70,John Summit
4061,2024,71,Lucas & Steve
4063,2024,72,Danny Avila
4065,2024,73,Mike Williams
4067,2024,74,22Bullets
4069,2024,75,Sara Landry
4071,2024,76,DubVision
4073,2024,77,Cat Dealers
4075,2024,78,Kölsch
4077,2024,79,Liu
4079,2024,80,Ferry Corsten
4081,2024,81,Plastik Funk
4083,2024,82,Jax Jones
4085,2024,83,Le Twins
4087,2024,84,Tungevaag
4089,2024,85,Aryue
4091,2024,86,REZZ
4093,2024,87,WUKONG
4095,2024,88,Solomun
4097,2024,89,Cuebrick
4099,2024,90,Marnik
4101,2024,91,Mau P
4103,2024,92,KAKA
4105,2024,93,Pink Panda
4107,2024,94,B Jones
4109,2024,95,Naeleck
4111,2024,96,Rave Republic
4113,2024,97,Topic
4115,2024,98,Giuseppe Ottaviani
4117,2024,99,Faustix
4119,2024,100,MEDUZA
